"","tSI.BW.CP","tSI.QC.CP","tSI.VA.CP","tSI.VG.CP","tSI.VK.CP","tSI.VL.CP","tSI.VP.CP","tSI.VSk.CP","tSI.VR.CP","tSI.VFil.CP","tSI.QA.CP","tSI.QG.CP","tSI.QK.CP","tSI.QL.CP","tSI.QSk.CP","tSI.QR.CP","tSI.QUr.CP","tSI.GFR.CP","tSI.PA.CP","tSI.PG.CP","tSI.PK.CP","tSI.PL.CP","tSI.PSk.CP","tSI.PR.CP","tSI.CL_FiltPT.CP","tSI.CLbiliary.CP","tSI.CLfecal.CP","tSI.fup.CP","Times","Year"
"51.01",0.00185964033114105,0.000648083090317164,0.315402464314072,0.000557487600091777,0.000857512987539111,0.00507490361533702,0.186116670296511,0.01690997961197,0.0646663485629215,0.000896297538831137,0.000809849973141263,0.00107094995227064,0.000656396098457357,0.00169496844792782,0.00388004556928012,0.00561291130902408,0.00114022534345037,0.000741293295684731,0.275700967106167,0.00237186739753126,0.000841647605714035,0.00457243601817059,0.00937594778209927,0.0512316080309426,0.00153618454033622,0.00170775206190865,0.00125139471184754,0.00101902624266959,51.01,0.00582305936073059
"52.01",0.00185957840698847,0.000648132804550672,0.315402397842263,0.000557491301609203,0.000857514374272283,0.0050748912727826,0.186116693390645,0.0169111427962672,0.0646627829952238,0.000896300563091978,0.000809830882926077,0.00107088373986874,0.000656411293184167,0.00169495363375993,0.00388002226686279,0.00561321761939515,0.00114024415515368,0.000741306143809517,0.275706388477666,0.00237272634644181,0.000841653506304385,0.00457253593935258,0.00937592600121573,0.0512325823832973,0.00153620046496183,0.00170776345212031,0.00125147363920386,0.00101905836931548,52.01,0.00593721461187215
"53.01",0.00185951649420335,0.000648182550116227,0.315402330722248,0.000557495011093811,0.000857515770597006,0.00507487893624736,0.186116716186043,0.0169123061350845,0.0646592174662396,0.000896303610158022,0.000809811805263072,0.00107081759626027,0.000656426501798313,0.00169493883821203,0.00387999897972757,0.00561352398398041,0.0011402629884617,0.000741319006903551,0.27571180978276,0.00237358862888248,0.000841659432403885,0.00457263590114065,0.00937590422923684,0.0512335564958946,0.0015362164143683,0.00170777488900187,0.00125155350605377,0.00101909051569515,53.01,0.0060513698630137
"54.01",0.00185945459276937,0.00064823232700939,0.315402262953934,0.00055749872853994,0.000857517176521383,0.00507486660571377,0.18611673868256,0.0169134696284369,0.0646556519760139,0.000896306680031267,0.000809792740158688,0.00107075152145852,0.000656441724303902,0.00169492406127547,0.00387997570787613,0.0056138304028186,0.00114028184338333,0.000741331884971941,0.27571723102133,0.00237445424527416,0.000841665384010093,0.00457273590356722,0.00937588246614807,0.0512345303686752,0.00153623238856371,0.00170778637259295,0.00125163431248676,0.00101912268180171,54.01,0.00616552511415525
"55.01",0.00185939270269719,0.000648282135243816,0.315402194537262,0.000557502453952918,0.000857518592038531,0.00507485428116472,0.18611676088027,0.0169146332763848,0.0646520865245223,0.000896309772714932,0.000809773687611481,0.0010706855154573,0.000656456960704377,0.00169490930295113,0.0038799524513119,0.00561413687592915,0.00114030071992399,0.00074134477801524,0.275722652193251,0.00237532319601441,0.000841671361132112,0.00457283594661795,0.00937586071199181,0.0512355040016452,0.00153624838754551,0.00170779790289044,0.00125171605859942,0.00101915486764226,55.01,0.0062796803652968
"56.01",0.00185933082398093,0.000648331974816063,0.315402125472239,0.000557506187336188,0.000857520017152225,0.00507484196261354,0.186116782779144,0.0169157970789079,0.0646485211118034,0.00089631288819858,0.000809754647618788,0.0010706195782485,0.000656472211005399,0.00169489456324534,0.00387992921002578,0.00561444340329964,0.00114031961808703,0.000741357686043553,0.275728073298624,0.00237619548149481,0.000841677363774718,0.00457293603027975,0.00937583896673144,0.0512364773947679,0.00153626441131693,0.00170780947991367,0.00125179874448578,0.00101918707322401,56.01,0.00639383561643836
"57.01",0.0018592689566187,0.000648381845747781,0.315402055758881,0.000557509928685862,0.000857521451863241,0.00507482965007167,0.186116804379192,0.0169169610360492,0.064644955737908,0.000896316026489208,0.000809735620177832,0.00107055370982589,0.000656487475201972,0.00169487984215255,0.00387990598402443,0.00561474998496458,0.00114033853787865,0.000741370609055436,0.275733494337231,0.00237707110211338,0.000841683391937575,0.00457303615456905,0.00937581723037872,0.0512374505479428,0.00153628045988385,0.00170782110363887,0.00125188237023954,0.00101921929854976,57.01,0.00650799086757991
"58.01",0.00185920710061216,0.000648431748026645,0.315401985397043,0.000557513678005161,0.000857522896176244,0.0050748173435694,0.186116825680302,0.0169181251478361,0.0646413904028218,0.0008963191875907,0.000809716605294608,0.00107048791019249,0.000656502753300092,0.0016948651396782,0.00387988277329576,0.00561505662094075,0.00114035747929198,0.000741383547057661,0.27573891530901,0.00237795005829033,0.000841689445624016,0.00457313631951506,0.00937579550295309,0.051238423461045,0.0015362965332627,0.00170783277409259,0.00125196693596064,0.00101925154361893,58.01,0.00662214611872146
"59.01",0.0018591452559743,0.000648481681656654,0.315401914386592,0.000557517435295307,0.000857524350092342,0.00507480504308178,0.186116846682536,0.0169192894142701,0.0646378251065649,0.00089632237150683,0.000809697602970338,0.00107042217934972,0.000656518045303645,0.00169485045582296,0.00387985957783832,0.00561536331121348,0.00114037644232989,0.000741396500042124,0.275744336213924,0.00237883235038261,0.000841695524836816,0.00457323652511898,0.00937577378441712,0.0512393961340201,0.00153631263144616,0.00170784449124661,0.00125205244174043,0.00101928380844907,59.01,0.00673630136986301
"60.01",0.00185908342269836,0.000648531646632144,0.315401842727322,0.000557521200555078,0.000857525813604876,0.0050747927485898,0.186116867385873,0.0169204538353945,0.0646342598491756,0.000896325578227386,0.000809678613201359,0.00107035651728926,0.000656533351209965,0.00169483579059182,0.00387983639767897,0.00561567005578911,0.00114039542698841,0.000741409468015042,0.275749757052045,0.00237971797880265,0.000841701629583858,0.00457333677137639,0.00937575207479246,0.0512403685668709,0.00153632875443854,0.00170785625513881,0.00125213888767128,0.00101931609303474,60.01,0.00685045662100457
