chemical,parameter,approach,species,value_average,range_value,unit,plasma/serum/ blood,n ,source,doi,comment,comment 2,comment 3
pfoa,resorption maximum constant,,human,6,,mg/h/kg^0.75,,,"Loccisano et al., 2011",10.1016/j.yrtph.2010.12.004,(human; 2.3 yrs)(plasma half-lifes) from monkey data,,
pfoa,resorption maximum constant,,,6,,mg/h/kg^0.75,,,Knutsen et al. EFSA 2018,https://doi.org/10.2903/j.efsa.2018.5194,,,
pfoa,resorption maximum constant,,,10,,mg/h/kg^0.75,,,Verner et al.,,,,
pfoa,resorption maximum constant,,,4.8,,mg/h/kg^0.75,,,"Rurark et al., 2017",10.1016/j.envint.2016.11.030 ,,,
pfoa,ratio plasma:blood,in vitro,rat,1.2,,,,60,"Jin et al., 2016",10.1021/acs.est.6b01698,In vitro assays with spiked Sprague?Dawley rat blood were also conducted,,
pfoa,HalfLife,in vivo ,human,1.2,,year,blood,66 (M+F),Zhang et al. 2013,https://doi.org/10.1021/es401905e,"From EFSA scientific opinion, Table 15",average,
pfos,HalfLife,in vivo ,human,5.8,,year,blood,F(b) (n = 19),Zhang et al. 2013,https://doi.org/10.1021/es401905e,"From EFSA scientific opinion, Table 15",average,
pfoa,affinity constant,,human,55,,mg/L,serum,,"Husoy et al., 2023",https://doi.org/10.1016/j.envres.2023.117341,"Fit serum and urine concn. in monkey (Loccisano et al., 2011)",,
pfoa,affinity constant,,,0.055,,mg/L,,,"Loccisano et al., 2011",10.1016/j.yrtph.2010.12.004,,prediction from Carolina,
pfoa,resorption maximum constant,,rats,270,,mg/h/kg^0.75,,,"Bernstein et al. 2021/ Kim et al (2018)/Kim et al. 2019/ Loccisano et al., 2012 ",,calculated by Carolina,,
pfoa,Free fraction / unbound fraction,in vitro,,0.05,,,,,"Fischer et al., 2024",https://doi.org/10.1021/acs.est.3c07415,,,
pfos,HalfLife,in vivo ,human,18,,year,blood,M(c) + F(d) (n = 64),Zhang et al. 2013,https://doi.org/10.1021/es401905e,"From EFSA scientific opinion, Table 15",average,
pfoa,absorbed fraction,in vivo,human,0.0016,,,,,"Husoy et al., 2023",,"Measure absorption of 13C4-PFOA over skin of 1,6% (0,016 fraction) (Abraham and Monien, 2022)",,
pfna,resorption maximum constant,,rats,0.1138,,(mg/h/kg0.75)a,,,"Bernstein et al. 2021/ Kim et al (2018)/Kim et al. 2019/ Loccisano et al., 2012 ",,calculated by CV,,
pfna,ratio plasma:blood,in vivo,human,1.1,,,,5,"K„rrman et al., 2006",https://doi.org/10.1016/j.chemosphere.2005.11.040,in Sweden,,
pfna,resorption maximum constant,in silico,human,7.9,,(mg/h/kg0.75)a,,,Fragki et al. 2023,https://doi.org/10.1016/j.fct.2022.113559,Calibrated to result in half-lives of 3.2 years for PFNA,,
pfoa,urinary elimination rate,,rats,1.6,,/h/ kg- 0.25,,,Worley and Fisher 2015,https://doi.org/10.1016/j.taap.2015.10.017,,,
pfna,urinary elimination rate,,,0.0003,,/h/ kg- 0.25,,,Fragki et al. 2023 ,https://doi.org/10.1016/j.fct.2022.113559 ,"(estimated from Harada, et al 2005)",,
pfna,urinary elimination rate,,rats (female),6.2437,,/h/ kg- 0.25,,,"Bernstein et al. 2021/ Kim et al (2018)/Kim et al. 2019/ Loccisano et al., 2012 ",,calculated by CV,,
pfna,urinary elimination rate,,rats (male),2.489,,/h/ kg- 0.25,,,"Bernstein et al. 2021/ Kim et al (2018)/Kim et al. 2019/ Loccisano et al., 2012 ",,calculated by CV,,
pfhxs,urinary elimination rate,,?,0.001,,/h/ kg- 0.25,,,Fragki et al. 2023 ,https://doi.org/10.1016/j.fct.2022.113559 ,,,
pfhxs,urinary elimination rate,,beef cattle,0.476,,/h/ kg- 0.25,,,"Chou et al., 2023",https://doi.org/10.1016/j.fct.2023.114062,cit. Drew et al. 2019,,
pfhxs,urinary elimination rate,,rats (female),0.4179,,/h/ kg- 0.25,,,"Bernstein et al. 2021/ Kim et al (2018)/Kim et al. 2019/ Loccisano et al., 2012 ",,calculated by CV,,
pfhxs,urinary elimination rate,,rats (male),0.1768,,/h/ kg- 0.25,,,"Bernstein et al. 2021/ Kim et al (2018)/Kim et al. 2019/ Loccisano et al., 2012 ",,calculated by CV,,
pfos,urinary elimination rate,,human,0.005,,/h/ kg- 0.25,,,"Loccisano et al., 2013",https://doi.org/10.1080/15287394.2012.722523,"Urinary elimination rate constants were scaled as BW?0.25 and estimated by fitting the model to the
data of Harada et al. (2005), where serum and urine PFOA and PFOS concentrations were measured",,
pfos,urinary elimination rate,,human,0.001,,/h/ kg- 0.25,,,"Loccisano et al., 2013",https://doi.org/10.1080/15287394.2012.722523,"Urinary elimination rate constants were scaled as BW?0.25 and estimated by fitting the model to the
data of Harada et al. (2005), where serum and urine PFOA and PFOS concentrations were measured",,
pfos,urinary elimination rate,,?,0.2,,/h/ kg- 0.25,,,Chou and Lin 2019,,,,
pfos,urinary elimination rate,,?,0.1,,/h/ kg- 0.25,,,"Ruark et al., 2017",10.1016/j.envint.2016.11.030 ,,,
pfos,urinary elimination rate,,beef cattle,0.01,,/h/ kg- 0.25,,,"Chou et al., 2023",https://doi.org/10.1016/j.fct.2023.114062,cit. Drew et al. 2019,,
pfna,Free fraction / unbound fraction,in vivo,?,0.02,,,,,Fragki et al. 2023,https://doi.org/10.1016/j.fct.2022.113559,based on PFOA,,
pfna,Free fraction / unbound fraction,in vitro,,0.05,,,,,"Fischer et al., 2024",https://doi.org/10.1021/acs.est.3c07415,calculated by CV,,
pfos,Free fraction / unbound fraction,in vitro,,0.04,,,,,"Fischer et al., 2024",https://doi.org/10.1021/acs.est.3c07415,calculated by CV,,
pfna,affinity constant,,,0.055,,mg/L,,,"Fragki et al., 2023",https://doi.org/10.1016/j.fct.2022.113559 ,,,
pfna,affinity constant,,rats,0.02485,,mg/L,,,"Bernstein et al. 2021/ Kim et al (2018)/Kim et al. 2019/ Loccisano et al., 2012 ",,calculated by CV,,
pfhxs,affinity constant,,,0.023,,mg/L,,,"Fragki et al., 2023",https://doi.org/10.1016/j.fct.2022.113559 ,,,
pfhxs,affinity constant,,rats,15.851,,mg/L,,,"Bernstein et al. 2021/ Kim et al (2018)/Kim et al. 2019/ Loccisano et al., 2012 ",,calculated by CV,,
pfos,affinity constant,,,0.023,,mg/L,,,"Loccisano et al., 2011",10.1016/j.yrtph.2010.12.004,,,
pfos,affinity constant,,rats,0.0167,,mg/L,,,"Bernstein et al. 2021/ Kim et al (2018)/Kim et al. 2019/ Loccisano et al., 2012 ",,calculated by CV,,
pfhxs,HalfLife,in vivo,human,7.1,,year,blood,19,"Zhang et al., 2013",https://doi.org/10.1021/es401905e,"n = 19 (only women), age < 50yo","From EFSA scientific opinion, Table 15",
pfhxs,HalfLife,in vivo,human,25,,year,blood,64,"Zhang et al., 2013",https://doi.org/10.1021/es401905e,"n = 64, both sex, age > 20 & < 88 for males and age > 50 for women","From EFSA scientific opinion, Table 15",
pfhxs,resorption maximum constant,in vivo ,rats,0.24126,,mg/h/kg^0.75,,,"Bernstein et al. 2021/ Kim et al (2018)/Kim et al. 2019/ Loccisano et al., 2012 ",,calculated by CV,,
pfhxs,resorption maximum constant,?,,7,,mg/h/kg0.75,,,"Fragki et al., 2023", https://doi.org/10.1016/j.fct.2022.113559 ,,,
pfhxs,resorption maximum constant,in vivo,human,"141 ñ 58 male N=20;  225, 251 female ",,?g/h/kg^0.75,,,Sweeney 2022 , https://doi.org/10.1016/j.yrtph.2021.105099,(cit. Olsen et al. 2007),,
pfhxs,resorption maximum constant,in vivo,human,210-175 ,,?g/h/kg^0.75,,,Sweeney 2022 , https://doi.org/10.1016/j.yrtph.2021.105099,(cit. Li et al. 2018),male and female 15-50yo,
pfhxs,partition coefficient,in vivo,rats (male),0.17 +/- 0.04,,,,5,"Kim et al., 2016",https://doi.org/10.1016/j.fct.2016.09.017,,,
pfhxs,partition coefficient,in vivo,rats (female),0.11 +/- 0.03,,,,5,"Kim et al., 2016",https://doi.org/10.1016/j.fct.2016.09.017,,,
pfhxs,partition coefficient,in vivo,human,0.13,,,,,Sweeney 2022 ,https://doi.org/10.1016/j.yrtph.2021.105099,"cited by Kim et al., 2018",,
pfhxs,partition coefficient,in vivo,human,0.062,,,,,Sweeney 2022 ,https://doi.org/10.1016/j.yrtph.2021.105099,"cited by Kim et al., 2018",,
pfhxs,partition coefficient,in vivo,beef cattle,0.21,,,,,"Chou et al., 2023",https://doi.org/10.1016/j.fct.2023.114062,cit. Drew et al. 2019,,
pfhxs,partition coefficient,in vivo,dairy cow,0.2,,,,,"Chou et al., 2023",https://doi.org/10.1016/j.fct.2023.114062,cit. Drew et al. 2019,,
pfos,partition coefficient,in silico,,2.03,,,,,Chou and Lin 2019,,,,
pfos,partition coefficient,"in vivo (post mortem, autopsy)",,2.67,,,,,Fabrega et al. 2016,,,,
